 Wavelength (nm) | Sum        | Al I (2.4e-02) | Al II (4.8e-01) | Al III (3.5e-04) | Ca I (8.5e-03) | Ca II (4.5e-01) | Ca III (4.6e-02) |
     200.11      | 1.125e-5   |                |                 |                  |                |                 | 1.125e-5         |
     200.16      | 1.078e-5   |                |                 |                  |                |                 | 1.078e-5         |
     200.21      | 9.460e-6   |                |                 |                  |                |                 | 9.460e-6         |
     200.26      | 7.714e-6   |                |                 |                  |                |                 | 7.714e-6         |
     200.31      | 5.912e-6   |                |                 |                  |                |                 | 5.912e-6         |
     200.36      | 4.280e-6   |                |                 |                  |                |                 | 4.280e-6         |
     200.41      | 2.919e-6   |                | 5.181e-10       |                  |                |                 | 2.918e-6         |
     200.46      | 1.864e-6   |                | 9.440e-9        |                  |                |                 | 1.854e-6         |
     200.51      | 1.235e-6   |                | 1.521e-7        |                  |                |                 | 1.083e-6         |
     200.56      | 2.743e-6   |                | 2.169e-6        |                  |                |                 | 5.748e-7         |
     200.61      | 2.762e-5   |                | 2.735e-5        |                  |                |                 | 2.743e-7         |
     200.66      | 3.052e-4   |                | 3.051e-4        |                  |                |                 | 1.169e-7         |
     200.72      | 4.689e-3   |                | 4.689e-3        |                  |                |                 | 3.596e-8         |
     200.77      | 3.994e-2   |                | 3.994e-2        |                  |                |                 | 1.179e-8         |
     200.82      | 3.010e-1   |                | 3.010e-1        |                  |                |                 | 3.422e-9         |
     200.87      | 2.007e+0   |                | 2.007e+0        |                  |                |                 | 8.779e-10        |
     200.92      | 1.184e+1   |                | 1.184e+1        |                  |                |                 | 1.990e-10        |
     200.97      | 6.176e+1   |                | 6.176e+1        |                  |                |                 | 3.986e-11        |
     201.02      | 2.851e+2   |                | 2.851e+2        |                  |                |                 | 7.233e-12        |
     201.07      | 1.165e+3   |                | 1.165e+3        |                  |                |                 | 2.534e-12        |
     201.12      | 4.208e+3   |                | 4.208e+3        |                  |                |                 | 9.762e-12        |
     201.17      | 1.345e+4   |                | 1.345e+4        |                  |                |                 | 5.696e-11        |
     201.22      | 3.806e+4   |                | 3.806e+4        |                  |                |                 | 2.984e-10        |
     201.27      | 9.526e+4   |                | 9.526e+4        |                  |                |                 | 1.383e-9         |
     201.32      | 2.110e+5   |                | 2.110e+5        |                  |                |                 | 5.671e-9         |
     201.37      | 4.134e+5   |                | 4.134e+5        |                  |                |                 | 2.056e-8         |
     201.42      | 7.169e+5   |                | 7.169e+5        |                  |                |                 | 6.597e-8         |
     201.47      | 1.100e+6   |                | 1.100e+6        |                  |                |                 | 1.872e-7         |
     201.52      | 1.493e+6   |                | 1.493e+6        |                  |                |                 | 4.698e-7         |
     201.57      | 1.794e+6   |                | 1.794e+6        |                  |                |                 | 1.043e-6         |
     201.62      | 1.908e+6   |                | 1.908e+6        |                  |                |                 | 2.048e-6         |
     201.67      | 1.795e+6   |                | 1.795e+6        |                  |                |                 | 3.557e-6         |
     201.72      | 1.495e+6   |                | 1.495e+6        |                  |                |                 | 5.466e-6         |
     201.77      | 1.104e+6   |                | 1.104e+6        |                  |                |                 | 7.428e-6         |
     201.82      | 7.276e+5   |                | 7.276e+5        |                  |                |                 | 8.929e-6         |
     201.87      | 4.379e+5   |                | 4.379e+5        |                  |                |                 | 9.493e-6         |
     201.92      | 2.625e+5   |                | 2.625e+5        |                  |                |                 | 8.929e-6         |
     201.97      | 1.929e+5   |                | 1.929e+5        |                  |                |                 | 7.428e-6         |
     202.02      | 2.028e+5   |                | 2.028e+5        |                  |                |                 | 5.467e-6         |
     202.07      | 2.599e+5   |                | 2.599e+5        |                  |                |                 | 3.565e-6         |
     202.12      | 3.306e+5   |                | 3.306e+5        |                  |                |                 | 2.075e-6         |
     202.17      | 3.838e+5   |                | 3.838e+5        |                  |                |                 | 1.126e-6         |
     202.22      | 3.972e+5   |                | 3.972e+5        |                  |                |                 | 6.976e-7         |
     202.27      | 3.644e+5   |                | 3.644e+5        |                  |                |                 | 7.443e-7         |
     202.32      | 2.960e+5   |                | 2.960e+5        |                  |                |                 | 1.273e-6         |
     202.37      | 2.127e+5   |                | 2.127e+5        |                  |                |                 | 2.336e-6         |
     202.42      | 1.353e+5   |                | 1.353e+5        |                  |                |                 | 3.942e-6         |
     202.47      | 7.616e+4   |                | 7.616e+4        |                  |                |                 | 5.932e-6         |
     202.52      | 3.793e+4   |                | 3.793e+4        |                  |                |                 | 7.917e-6         |
     202.57      | 1.672e+4   |                | 1.672e+4        |                  |                |                 | 9.366e-6         |
     202.62      | 6.520e+3   |                | 6.520e+3        |                  |                |                 | 9.821e-6         |
     202.67      | 2.250e+3   |                | 2.250e+3        |                  |                |                 | 9.130e-6         |
     202.72      | 6.872e+2   |                | 6.872e+2        |                  |                |                 | 7.525e-6         |
     202.77      | 1.857e+2   |                | 1.857e+2        |                  |                |                 | 5.505e-6         |
     202.82      | 4.441e+1   |                | 4.441e+1        |                  |                |                 | 3.589e-6         |
     202.87      | 9.397e+0   |                | 9.397e+0        |                  |                |                 | 2.134e-6         |
     202.92      | 1.760e+0   |                | 1.760e+0        |                  |                |                 | 1.297e-6         |
     202.97      | 2.916e-1   |                | 2.916e-1        |                  |                |                 | 1.129e-6         |
     203.02      | 4.275e-2   |                | 4.275e-2        |                  |                |                 | 1.701e-6         |
     203.07      | 5.550e-3   |                | 5.547e-3        |                  |                |                 | 3.152e-6         |
     203.12      | 6.425e-4   |                | 6.369e-4        |                  |                |                 | 5.600e-6         |
     203.17      | 7.365e-5   |                | 6.471e-5        |                  |                |                 | 8.947e-6         |
     203.22      | 1.851e-5   |                | 5.817e-6        |                  |                |                 | 1.270e-5         |
     203.27      | 1.644e-5   |                | 4.628e-7        |                  |                |                 | 1.598e-5         |
     203.32      | 1.785e-5   |                | 3.258e-8        |                  |                |                 | 1.781e-5         |
     203.37      | 1.760e-5   |                | 2.030e-9        |                  |                |                 | 1.760e-5         |
     203.42      | 1.541e-5   |                | 1.119e-10       |                  |                |                 | 1.541e-5         |
     203.47      | 1.197e-5   |                |                 |                  |                |                 | 1.197e-5         |
     203.52      | 8.283e-6   |                |                 |                  |                |                 | 8.283e-6         |
     203.57      | 5.294e-6   |                |                 |                  |                |                 | 5.294e-6         |
     203.62      | 3.803e-6   |                |                 |                  |                |                 | 3.803e-6         |
     203.67      | 4.994e-6   |                |                 |                  |                |                 | 4.994e-6         |
     203.72      | 1.158e-5   |                |                 |                  |                |                 | 1.158e-5         |
     203.77      | 2.935e-5   |                |                 |                  |                |                 | 2.935e-5         |
     203.82      | 6.839e-5   |                |                 |                  |                |                 | 6.839e-5         |
     203.87      | 1.420e-4   |                |                 |                  |                |                 | 1.420e-4         |
     203.92      | 2.619e-4   |                |                 |                  |                |                 | 2.619e-4         |
     203.97      | 4.282e-4   |                |                 |                  |                |                 | 4.282e-4         |
     204.02      | 6.211e-4   |                |                 |                  |                |                 | 6.211e-4         |
     204.07      | 7.991e-4   |                |                 |                  |                |                 | 7.991e-4         |
     204.12      | 9.119e-4   |                |                 |                  |                |                 | 9.119e-4         |
     204.17      | 9.230e-4   |                |                 |                  |                |                 | 9.230e-4         |
     204.22      | 8.289e-4   |                |                 |                  |                |                 | 8.289e-4         |
     204.27      | 6.608e-4   |                |                 |                  |                |                 | 6.608e-4         |
     204.32      | 4.683e-4   |                |                 |                  |                |                 | 4.683e-4         |
     204.37      | 2.964e-4   |                |                 |                  |                |                 | 2.964e-4         |
     204.42      | 1.696e-4   |                |                 |                  |                |                 | 1.696e-4         |
     204.47      | 9.085e-5   |                |                 |                  |                |                 | 9.085e-5         |
     204.52      | 4.926e-5   |                |                 |                  |                |                 | 4.926e-5         |
     204.57      | 3.039e-5   |                |                 |                  |                |                 | 3.039e-5         |
     204.62      | 2.251e-5   |                |                 |                  |                |                 | 2.251e-5         |
     204.67      | 1.848e-5   |                |                 |                  |                |                 | 1.848e-5         |
     204.72      | 1.513e-5   |                |                 |                  |                |                 | 1.513e-5         |
     204.77      | 1.161e-5   |                |                 |                  |                |                 | 1.161e-5         |
     204.82      | 8.161e-6   |                |                 |                  |                |                 | 8.161e-6         |
     204.87      | 5.205e-6   |                |                 |                  |                |                 | 5.205e-6         |
     204.92      | 3.000e-6   |                |                 |                  |                |                 | 3.000e-6         |
     204.97      | 1.560e-6   |                |                 |                  |                |                 | 1.560e-6         |
     205.02      | 7.301e-7   |                |                 |                  |                |                 | 7.301e-7         |
     205.07      | 3.070e-7   |                |                 |                  |                |                 | 3.070e-7         |
     205.12      | 1.158e-7   |                |                 |                  |                |                 | 1.158e-7         |
     205.17      | 3.912e-8   |                |                 |                  |                |                 | 3.912e-8         |
     205.22      | 1.182e-8   |                |                 |                  |                |                 | 1.182e-8         |
     205.27      | 3.190e-9   |                |                 |                  |                |                 | 3.190e-9         |
     205.32      | 7.684e-10  |                |                 |                  |                |                 | 7.684e-10        |
     205.37      | 1.652e-10  |                |                 |                  |                |                 | 1.652e-10        |
     205.42      | 3.222e-11  |                |                 |                  |                |                 | 3.222e-11        |
     205.47      | 9.220e-12  |                |                 |                  |                |                 | 9.220e-12        |
     205.52      | 2.189e-11  |                |                 |                  |                |                 | 2.189e-11        |
     205.57      | 1.032e-10  |                |                 |                  |                |                 | 1.032e-10        |
     205.62      | 4.480e-10  |                |                 |                  |                |                 | 4.480e-10        |
     205.67      | 1.732e-9   |                |                 |                  |                |                 | 1.732e-9         |
     205.72      | 5.953e-9   |                |                 |                  |                |                 | 5.953e-9         |
     205.77      | 1.819e-8   |                |                 |                  |                |                 | 1.819e-8         |
     205.82      | 4.941e-8   |                |                 |                  |                |                 | 4.941e-8         |
     205.87      | 1.194e-7   |                |                 |                  |                |                 | 1.194e-7         |
     205.92      | 2.563e-7   |                |                 |                  |                |                 | 2.563e-7         |
     205.97      | 4.893e-7   |                |                 |                  |                |                 | 4.893e-7         |
     206.02      | 8.306e-7   |                |                 |                  |                |                 | 8.306e-7         |
     206.07      | 1.253e-6   |                |                 |                  |                |                 | 1.253e-6         |
     206.12      | 1.682e-6   |                |                 | 9.737e-18        |                |                 | 1.682e-6         |
     206.17      | 2.008e-6   |                | 1.903e-9        | 1.654e-16        |                |                 | 2.006e-6         |
     206.22      | 2.159e-6   |                | 3.133e-8        | 2.500e-15        |                |                 | 2.128e-6         |
     206.27      | 2.465e-6   |                | 4.593e-7        | 3.366e-14        |                |                 | 2.006e-6         |
     206.32      | 7.676e-6   |                | 5.994e-6        | 4.034e-13        |                |                 | 1.682e-6         |
     206.37      | 7.090e-5   |                | 6.965e-5        | 4.305e-12        |                |                 | 1.253e-6         |
     206.42      | 7.213e-4   |                | 7.204e-4        | 4.090e-11        |                |                 | 8.306e-7         |
     206.47      | 6.635e-3   |                | 6.634e-3        | 3.459e-10        |                |                 | 4.893e-7         |
     206.52      | 5.439e-2   |                | 5.439e-2        | 2.605e-9         |                |                 | 2.563e-7         |
     206.57      | 3.970e-1   |                | 3.970e-1        | 1.747e-8         |                |                 | 1.194e-7         |
     206.62      | 2.579e+0   |                | 2.579e+0        | 1.043e-7         |                |                 | 4.941e-8         |
     206.67      | 1.492e+1   |                | 1.492e+1        | 5.543e-7         |                |                 | 1.819e-8         |
     206.72      | 7.684e+1   |                | 7.684e+1        | 2.623e-6         |                |                 | 5.958e-9         |
     206.77      | 3.523e+2   |                | 3.523e+2        | 1.105e-5         |                |                 | 1.764e-9         |
     206.82      | 1.438e+3   |                | 1.438e+3        | 4.146e-5         |                |                 | 6.074e-10        |
     206.87      | 5.224e+3   |                | 5.224e+3        | 1.385e-4         |                |                 | 7.998e-10        |
     206.92      | 1.690e+4   |                | 1.690e+4        | 4.117e-4         |                |                 | 2.733e-9         |
     206.97      | 4.867e+4   |                | 4.867e+4        | 1.090e-3         |                |                 | 9.401e-9         |
     207.02      | 1.248e+5   |                | 1.248e+5        | 2.569e-3         |                |                 | 2.899e-8         |
     207.07      | 2.848e+5   |                | 2.848e+5        | 5.392e-3         |                |                 | 7.964e-8         |
     207.12      | 5.788e+5   |                | 5.788e+5        | 1.008e-2         |                |                 | 1.948e-7         |
     207.17      | 1.047e+6   |                | 1.047e+6        | 1.676e-2         |                |                 | 4.242e-7         |
     207.22      | 1.686e+6   |                | 1.686e+6        | 2.483e-2         |                |                 | 8.230e-7         |
     207.27      | 2.418e+6   |                | 2.418e+6        | 3.274e-2         |                |                 | 1.423e-6         |
     207.32      | 3.087e+6   |                | 3.087e+6        | 3.845e-2         |                |                 | 2.195e-6         |
     207.37      | 3.508e+6   |                | 3.508e+6        | 4.019e-2         |                |                 | 3.034e-6         |
     207.42      | 3.549e+6   |                | 3.549e+6        | 3.741e-2         |                |                 | 3.791e-6         |
     207.47      | 3.196e+6   |                | 3.196e+6        | 3.100e-2         |                |                 | 4.379e-6         |
     207.52      | 2.563e+6   |                | 2.563e+6        | 2.287e-2         |                |                 | 4.895e-6         |
     207.57      | 1.829e+6   |                | 1.829e+6        | 1.503e-2         |                |                 | 5.689e-6         |
     207.62      | 1.163e+6   |                | 1.163e+6        | 8.789e-3         |                |                 | 7.284e-6         |
     207.67      | 6.578e+5   |                | 6.578e+5        | 4.577e-3         |                |                 | 1.013e-5         |
     207.72      | 3.313e+5   |                | 3.313e+5        | 2.122e-3         |                |                 | 1.426e-5         |
     207.77      | 1.486e+5   |                | 1.486e+5        | 8.761e-4         |                |                 | 1.905e-5         |
     207.82      | 5.931e+4   |                | 5.931e+4        | 3.220e-4         |                |                 | 2.331e-5         |
     207.87      | 2.108e+4   |                | 2.108e+4        | 1.054e-4         |                |                 | 2.568e-5         |
     207.92      | 6.669e+3   |                | 6.669e+3        | 3.070e-5         |                |                 | 2.532e-5         |
     207.97      | 1.878e+3   |                | 1.878e+3        | 7.965e-6         |                |                 | 2.227e-5         |
     208.02      | 4.711e+2   |                | 4.711e+2        | 1.841e-6         |                |                 | 1.746e-5         |
     208.07      | 1.052e+2   |                | 1.052e+2        | 3.853e-7         |                |                 | 1.219e-5         |
     208.12      | 2.090e+1   |                | 2.090e+1        | 1.156e-7         |                |                 | 7.588e-6         |
     208.17      | 3.698e+0   |                | 3.698e+0        | 2.846e-7         |                |                 | 4.206e-6         |
     208.22      | 5.826e-1   |                | 5.825e-1        | 1.441e-6         |                |                 | 2.077e-6         |
     208.27      | 8.170e-2   |                | 8.169e-2        | 6.756e-6         |                |                 | 9.133e-7         |
     208.32      | 1.023e-2   |                | 1.020e-2        | 2.829e-5         |                |                 | 3.578e-7         |
     208.37      | 1.254e-3   |                | 1.148e-3        | 1.056e-4         |                |                 | 1.249e-7         |
     208.42      | 6.190e-4   |                | 2.673e-4        | 3.517e-4         |                |                 | 3.881e-8         |
     208.47      | 2.535e-3   |                | 1.491e-3        | 1.044e-3         |                |                 | 1.075e-8         |
     208.52      | 1.540e-2   |                | 1.264e-2        | 2.765e-3         |                |                 | 2.650e-9         |
     208.57      | 1.028e-1   |                | 9.631e-2        | 6.531e-3         |                |                 | 5.823e-10        |
     208.62      | 6.698e-1   |                | 6.561e-1        | 1.376e-2         |                |                 | 1.139e-10        |
     208.67      | 4.021e+0   |                | 3.995e+0        | 2.587e-2         |                |                 | 1.986e-11        |
     208.72      | 2.179e+1   |                | 2.175e+1        | 4.344e-2         |                |                 | 3.084e-12        |
     208.77      | 1.059e+2   |                | 1.059e+2        | 6.526e-2         |                |                 | 4.266e-13        |
     208.82      | 4.610e+2   |                | 4.609e+2        | 8.806e-2         |                |                 | 5.321e-14        |
     208.87      | 1.795e+3   |                | 1.795e+3        | 1.076e-1         |                |                 | 1.234e-14        |
     208.92      | 6.258e+3   |                | 6.258e+3        | 1.212e-1         |                |                 | 5.803e-14        |
     208.97      | 1.953e+4   |                | 1.952e+4        | 1.296e-1         |                |                 | 4.487e-13        |
     209.02      | 5.454e+4   |                | 5.454e+4        | 1.376e-1         |                |                 | 3.127e-12        |
     209.07      | 1.365e+5   |                | 1.365e+5        | 1.509e-1         |                | 2.511e-7        | 1.945e-11        |
     209.12      | 3.059e+5   |                | 3.059e+5        | 1.720e-1         |                | 4.003e-6        | 1.080e-10        |
     209.17      | 6.144e+5   |                | 6.144e+5        | 1.971e-1         |                | 5.702e-5        | 5.356e-10        |
     209.22      | 1.106e+6   |                | 1.106e+6        | 2.170e-1         |                | 7.253e-4        | 2.370e-9         |
     209.27      | 1.785e+6   |                | 1.785e+6        | 2.217e-1         |                | 8.240e-3        | 9.365e-9         |
     209.32      | 2.584e+6   |                | 2.584e+6        | 2.060e-1         |                | 8.360e-2        | 3.302e-8         |
     209.37      | 3.355e+6   |                | 3.355e+6        | 1.723e-1         |                | 7.576e-1        | 1.040e-7         |
     209.42      | 3.908e+6   |                | 3.908e+6        | 1.291e-1         |                | 6.132e+0        | 2.921e-7         |
     209.47      | 4.084e+6   |                | 4.084e+6        | 8.644e-2         |                | 4.432e+1        | 7.328e-7         |
     209.52      | 3.829e+6   |                | 3.829e+6        | 5.167e-2         |                | 2.861e+2        | 1.641e-6         |
     209.57      | 3.223e+6   |                | 3.221e+6        | 2.757e-2         |                | 1.650e+3        | 3.280e-6         |
     209.62      | 2.440e+6   |                | 2.431e+6        | 1.312e-2         |                | 8.496e+3        | 5.853e-6         |
     209.67      | 1.685e+6   |                | 1.646e+6        | 5.574e-3         |                | 3.908e+4        | 9.323e-6         |
     209.72      | 1.160e+6   |                | 9.999e+5        | 2.112e-3         |                | 1.605e+5        | 1.326e-5         |
     209.77      | 1.134e+6   |                | 5.448e+5        | 7.138e-4         |                | 5.889e+5        | 1.683e-5         |
     209.82      | 2.196e+6   |                | 2.661e+5        | 2.152e-4         |                | 1.930e+6        | 1.906e-5         |
     209.87      | 5.764e+6   |                | 1.166e+5        | 5.790e-5         |                | 5.647e+6        | 1.928e-5         |
     209.92      | 1.481e+7   |                | 4.576e+4        | 1.390e-5         |                | 1.476e+7        | 1.741e-5         |
     209.97      | 3.447e+7   |                | 1.610e+4        | 2.975e-6         |                | 3.445e+7        | 1.403e-5         |
     210.02      | 7.183e+7   |                | 5.073e+3        | 5.682e-7         |                | 7.183e+7        | 1.009e-5         |
     210.07      | 1.337e+8   |                | 1.432e+3        | 9.681e-8         |                | 1.337e+8        | 6.483e-6         |
     210.12      | 2.224e+8   |                | 3.619e+2        | 1.471e-8         |                | 2.224e+8        | 3.717e-6         |
     210.17      | 3.304e+8   |                | 8.189e+1        | 1.995e-9         |                | 3.304e+8        | 1.904e-6         |
     210.22      | 4.382e+8   |                | 1.658e+1        | 2.414e-10        |                | 4.382e+8        | 8.760e-7         |
     210.27      | 5.192e+8   |                | 3.005e+0        | 2.605e-11        |                | 5.192e+8        | 3.746e-7         |
     210.32      | 5.494e+8   |                | 4.870e-1        | 2.508e-12        |                | 5.494e+8        | 1.807e-7         |
     210.37      | 5.192e+8   |                | 7.061e-2        | 2.154e-13        |                | 5.192e+8        | 1.595e-7         |
     210.42      | 4.382e+8   |                | 9.154e-3        | 1.650e-14        |                | 4.382e+8        | 2.513e-7         |
     210.47      | 3.304e+8   |                | 1.061e-3        | 1.128e-15        |                | 3.304e+8        | 4.375e-7         |
     210.52      | 2.224e+8   |                | 1.100e-4        | 6.877e-17        |                | 2.224e+8        | 7.056e-7         |
     210.57      | 1.338e+8   | 1.846e-8       | 1.018e-5        |                  |                | 1.338e+8        | 1.022e-6         |
     210.62      | 7.189e+7   | 2.895e-7       | 8.430e-7        |                  |                | 7.189e+7        | 1.324e-6         |
     210.67      | 3.470e+7   | 4.060e-6       | 6.236e-8        |                  |                | 3.470e+7        | 1.533e-6         |
     210.72      | 1.566e+7   | 5.093e-5       | 4.062e-9        |                  |                | 1.566e+7        | 1.587e-6         |
     210.77      | 8.646e+6   | 5.716e-4       | 1.953e-10       |                  |                | 8.646e+6        | 1.470e-6         |
     210.82      | 1.085e+7   | 5.739e-3       |                 |                  |                | 1.085e+7        | 1.230e-6         |
     210.87      | 2.432e+7   | 5.154e-2       |                 |                  |                | 2.432e+7        | 9.663e-7         |
     210.92      | 5.660e+7   | 4.141e-1       |                 |                  |                | 5.660e+7        | 8.370e-7         |
     210.97      | 1.201e+8   | 2.976e+0       |                 |                  |                | 1.201e+8        | 1.098e-6         |
     211.02      | 2.284e+8   | 1.913e+1       |                 |                  |                | 2.284e+8        | 2.216e-6         |
     211.07      | 3.886e+8   | 1.100e+2       |                 |                  |                | 3.886e+8        | 5.005e-6         |
     211.12      | 5.912e+8   | 5.661e+2       |                 |                  |                | 5.912e+8        | 1.068e-5         |
     211.17      | 8.044e+8   | 2.605e+3       |                 |                  |                | 8.044e+8        | 2.060e-5         |
     211.22      | 9.789e+8   | 1.073e+4       |                 |                  |                | 9.789e+8        | 3.562e-5         |
     211.27      | 1.065e+9   | 3.950e+4       |                 |                  |                | 1.065e+9        | 5.509e-5         |
     211.32      | 1.037e+9   | 1.301e+5       |                 |                  |                | 1.037e+9        | 7.619e-5         |
     211.37      | 9.033e+8   | 3.835e+5       |                 |                  |                | 9.029e+8        | 9.423e-5         |
     211.42      | 7.041e+8   | 1.011e+6       |                 |                  |                | 7.031e+8        | 1.042e-4         |
     211.47      | 4.921e+8   | 2.385e+6       |                 |                  |                | 4.897e+8        | 1.031e-4         |
     211.52      | 3.101e+8   | 5.031e+6       |                 |                  |                | 3.051e+8        | 9.112e-5         |
     211.57      | 1.795e+8   | 9.495e+6       |                 |                  |                | 1.700e+8        | 7.205e-5         |
     211.62      | 1.008e+8   | 1.603e+7       |                 |                  |                | 8.476e+7        | 5.095e-5         |
     211.67      | 6.201e+7   | 2.421e+7       |                 |                  |                | 3.780e+7        | 3.223e-5         |
     211.72      | 4.780e+7   | 3.272e+7       |                 |                  |                | 1.508e+7        | 1.830e-5         |
     211.77      | 4.497e+7   | 3.959e+7       |                 |                  |                | 5.381e+6        | 9.531e-6         |
     211.82      | 4.466e+7   | 4.294e+7       |                 |                  |                | 1.718e+6        | 5.167e-6         |
     211.87      | 4.244e+7   | 4.195e+7       |                 |                  |                | 4.907e+5        | 4.446e-6         |
     211.92      | 3.756e+7   | 3.743e+7       |                 |                  |                | 1.254e+5        | 7.397e-6         |
     211.97      | 3.173e+7   | 3.170e+7       |                 |                  |                | 2.867e+4        | 1.512e-5         |
     212.02      | 2.783e+7   | 2.783e+7       |                 |                  |                | 5.865e+3        | 2.942e-5         |
     212.07      | 2.854e+7   | 2.854e+7       |                 |                  |                | 1.074e+3        | 5.171e-5         |
     212.12      | 3.529e+7   | 3.529e+7       |                 |                  |                | 1.758e+2        | 8.147e-5         |
     212.17      | 4.751e+7   | 4.751e+7       |                 |                  |                | 2.577e+1        | 1.149e-4         |
     212.22      | 6.248e+7   | 6.248e+7       |                 |                  |                | 3.380e+0        | 1.451e-4         |
     212.27      | 7.593e+7   | 7.593e+7       |                 |                  |                | 3.966e-1        | 1.639e-4         |
     212.32      | 8.348e+7   | 8.348e+7       |                 |                  |                | 4.165e-2        | 1.657e-4         |
     212.37      | 8.244e+7   | 8.244e+7       |                 |                  |                | 3.915e-3        | 1.500e-4         |
     212.42      | 7.299e+7   | 7.299e+7       |                 |                  |                | 3.293e-4        | 1.216e-4         |
     212.47      | 5.801e+7   | 5.801e+7       |                 |                  |                | 2.479e-5        | 8.856e-5         |
     212.52      | 4.169e+7   | 4.169e+7       |                 |                  |                | 1.670e-6        | 5.842e-5         |
     212.57      | 2.788e+7   | 2.788e+7       |                 |                  |                | 1.007e-7        | 3.613e-5         |
     212.62      | 1.909e+7   | 1.909e+7       |                 |                  |                |                 | 2.330e-5         |
     212.67      | 1.637e+7   | 1.637e+7       |                 |                  |                |                 | 1.913e-5         |
     212.72      | 1.968e+7   | 1.968e+7       |                 |                  |                |                 | 2.160e-5         |
     212.77      | 2.810e+7   | 2.810e+7       |                 |                  |                |                 | 2.811e-5         |
     212.82      | 3.980e+7   | 3.980e+7       |                 |                  |                |                 | 3.583e-5         |
     212.87      | 5.196e+7   | 5.196e+7       |                 |                  |                |                 | 4.198e-5         |
     212.92      | 6.126e+7   | 6.126e+7       |                 |                  |                |                 | 4.448e-5         |
     212.97      | 6.504e+7   | 6.504e+7       |                 |                  |                |                 | 4.265e-5         |
     213.02      | 6.252e+7   | 6.252e+7       |                 |                  |                |                 | 3.755e-5         |
     213.07      | 5.549e+7   | 5.549e+7       |                 |                  |                |                 | 3.157e-5         |
     213.12      | 4.782e+7   | 4.782e+7       |                 |                  |                |                 | 2.747e-5         |
     213.17      | 4.416e+7   | 4.416e+7       |                 |                  |                |                 | 2.724e-5         |
     213.22      | 4.823e+7   | 4.823e+7       |                 |                  |                |                 | 3.135e-5         |
     213.27      | 6.135e+7   | 6.135e+7       |                 |                  |                |                 | 3.850e-5         |
     213.32      | 8.155e+7   | 8.155e+7       |                 |                  |                |                 | 4.605e-5         |
     213.37      | 1.037e+8   | 1.037e+8       |                 |                  |                |                 | 5.101e-5         |
     213.42      | 1.210e+8   | 1.210e+8       |                 |                  |                |                 | 5.126e-5         |
     213.47      | 1.276e+8   | 1.276e+8       |                 |                  |                |                 | 4.637e-5         |
     213.52      | 1.209e+8   | 1.209e+8       |                 |                  |                |                 | 3.775e-5         |
     213.57      | 1.027e+8   | 1.027e+8       |                 |                  |                |                 | 2.785e-5         |
     213.62      | 7.824e+7   | 7.824e+7       |                 |                  |                |                 | 1.922e-5         |
     213.67      | 5.341e+7   | 5.341e+7       |                 |                  |                |                 | 1.377e-5         |
     213.72      | 3.268e+7   | 3.268e+7       |                 |                  |                |                 | 1.261e-5         |
     213.77      | 1.791e+7   | 1.791e+7       |                 |                  | 4.390e-10      |                 | 1.620e-5         |
     213.82      | 8.802e+6   | 8.802e+6       |                 |                  | 7.062e-9       |                 | 2.438e-5         |
     213.87      | 3.878e+6   | 3.878e+6       |                 |                  | 1.019e-7       |                 | 3.609e-5         |
     213.92      | 1.541e+6   | 1.541e+6       |                 |                  | 1.321e-6       |                 | 4.912e-5         |
     213.97      | 5.873e+5   | 5.873e+5       |                 |                  | 1.536e-5       |                 | 6.034e-5         |
     214.02      | 3.308e+5   | 3.308e+5       |                 |                  | 1.603e-4       |                 | 6.661e-5         |
     214.07      | 5.370e+5   | 5.370e+5       |                 |                  | 1.502e-3       |                 | 6.602e-5         |
     214.12      | 1.353e+6   | 1.353e+6       |                 |                  | 1.263e-2       |                 | 5.881e-5         |
     214.17      | 3.306e+6   | 3.306e+6       |                 |                  | 9.535e-2       |                 | 4.719e-5         |
     214.22      | 7.301e+6   | 7.301e+6       |                 |                  | 6.459e-1       |                 | 3.427e-5         |
     214.27      | 1.447e+7   | 1.447e+7       |                 |                  | 3.927e+0       |                 | 2.273e-5         |
     214.32      | 2.574e+7   | 2.574e+7       |                 |                  | 2.143e+1       |                 | 1.399e-5         |
     214.37      | 4.106e+7   | 4.106e+7       |                 |                  | 1.050e+2       |                 | 8.213e-6         |
     214.42      | 5.877e+7   | 5.877e+7       |                 |                  | 4.615e+2       |                 | 4.752e-6         |
     214.47      | 7.550e+7   | 7.550e+7       |                 |                  | 1.821e+3       |                 | 2.786e-6         |
     214.52      | 8.712e+7   | 8.712e+7       |                 |                  | 6.450e+3       |                 | 1.660e-6         |
     214.57      | 9.056e+7   | 9.054e+7       |                 |                  | 2.050e+4       |                 | 9.840e-7         |
     214.62      | 8.546e+7   | 8.540e+7       |                 |                  | 5.850e+4       |                 | 5.733e-7         |
     214.67      | 7.490e+7   | 7.475e+7       |                 |                  | 1.498e+5       |                 | 3.613e-7         |
     214.72      | 6.452e+7   | 6.417e+7       |                 |                  | 3.444e+5       |                 | 3.647e-7         |
     214.77      | 6.066e+7   | 5.995e+7       |                 |                  | 7.104e+5       |                 | 7.122e-7         |
     214.82      | 6.814e+7   | 6.682e+7       |                 |                  | 1.316e+6       |                 | 1.724e-6         |
     214.87      | 8.834e+7   | 8.615e+7       |                 |                  | 2.186e+6       |                 | 3.995e-6         |
