 Wavelength (nm) | Sum        | Al I (2.4e-02) | Al II (4.8e-01) | Al III (3.5e-04) | Ca I (8.5e-03) | Ca II (4.5e-01) | Ca III (4.6e-02) |
     385.87      | 1.496e+3   |                | 1.155e+3        |                  | 3.408e+2       |                 |                  |
     385.93      | 2.920e+3   |                | 2.059e+3        |                  | 8.612e+2       |                 |                  |
     385.98      | 5.011e+3   |                | 3.212e+3        |                  | 1.799e+3       |                 |                  |
     386.03      | 8.484e+3   |                | 4.847e+3        |                  | 3.637e+3       |                 |                  |
     386.08      | 1.419e+4   |                | 7.074e+3        |                  | 7.117e+3       |                 |                  |
     386.13      | 2.347e+4   |                | 9.983e+3        |                  | 1.349e+4       |                 |                  |
     386.18      | 3.837e+4   |                | 1.363e+4        |                  | 2.474e+4       |                 |                  |
     386.23      | 6.194e+4   |                | 1.799e+4        |                  | 4.395e+4       |                 |                  |
     386.28      | 9.859e+4   |                | 2.296e+4        |                  | 7.563e+4       |                 |                  |
     386.33      | 1.544e+5   |                | 2.835e+4        |                  | 1.261e+5       |                 |                  |
     386.38      | 2.375e+5   |                | 3.385e+4        |                  | 2.036e+5       |                 |                  |
     386.43      | 3.579e+5   |                | 3.908e+4        |                  | 3.188e+5       |                 |                  |
     386.48      | 5.276e+5   |                | 4.365e+4        |                  | 4.839e+5       |                 |                  |
     386.53      | 7.595e+5   |                | 4.714e+4        |                  | 7.124e+5       |                 |                  |
     386.58      | 1.067e+6   |                | 4.923e+4        |                  | 1.017e+6       |                 |                  |
     386.63      | 1.460e+6   |                | 4.973e+4        |                  | 1.411e+6       |                 |                  |
     386.68      | 1.948e+6   |                | 4.858e+4        |                  | 1.899e+6       |                 |                  |
     386.73      | 2.531e+6   |                | 4.589e+4        |                  | 2.486e+6       |                 |                  |
     386.78      | 3.205e+6   |                | 4.193e+4        |                  | 3.164e+6       |                 |                  |
     386.83      | 3.957e+6   |                | 3.705e+4        |                  | 3.920e+6       |                 |                  |
     386.88      | 4.765e+6   |                | 3.166e+4        |                  | 4.733e+6       |                 |                  |
     386.93      | 5.603e+6   |                | 2.616e+4        |                  | 5.577e+6       |                 |                  |
     386.98      | 6.442e+6   |                | 2.091e+4        |                  | 6.421e+6       |                 |                  |
     387.03      | 7.253e+6   |                | 1.616e+4        |                  | 7.237e+6       |                 |                  |
     387.08      | 8.009e+6   |                | 1.208e+4        |                  | 7.997e+6       |                 |                  |
     387.13      | 8.689e+6   |                | 8.733e+3        |                  | 8.680e+6       |                 |                  |
     387.18      | 9.277e+6   |                | 6.106e+3        |                  | 9.270e+6       |                 |                  |
     387.23      | 9.760e+6   |                | 4.128e+3        |                  | 9.756e+6       |                 |                  |
     387.28      | 1.013e+7   |                | 2.699e+3        |                  | 1.013e+7       |                 |                  |
     387.33      | 1.038e+7   |                | 1.707e+3        |                  | 1.038e+7       |                 |                  |
     387.38      | 1.050e+7   |                | 1.044e+3        |                  | 1.050e+7       |                 |                  |
     387.43      | 1.047e+7   |                | 6.174e+2        |                  | 1.047e+7       |                 |                  |
     387.48      | 1.029e+7   |                | 3.532e+2        |                  | 1.029e+7       |                 |                  |
